Name,Type1
african_elephant-0001,african_elephant
african_elephant-0002,african_elephant
african_elephant-0003,african_elephant
african_elephant-0004,african_elephant
african_elephant-0005,african_elephant
african_elephant-0006,african_elephant
african_elephant-0007,african_elephant
african_elephant-0008,african_elephant
african_elephant-0009,african_elephant
african_elephant-0010,african_elephant
african_elephant-0011,african_elephant
african_elephant-0012,african_elephant
african_elephant-0013,african_elephant
african_elephant-0014,african_elephant
african_elephant-0015,african_elephant
african_elephant-0016,african_elephant
african_elephant-0017,african_elephant
african_elephant-0018,african_elephant
african_elephant-0019,african_elephant
african_elephant-0020,african_elephant
african_elephant-0021,african_elephant
african_elephant-0022,african_elephant
african_elephant-0023,african_elephant
african_elephant-0024,african_elephant
african_elephant-0025,african_elephant
african_elephant-0026,african_elephant
african_elephant-0027,african_elephant
african_elephant-0028,african_elephant
african_elephant-0029,african_elephant
african_elephant-0030,african_elephant
african_elephant-0031,african_elephant
african_elephant-0032,african_elephant
african_elephant-0033,african_elephant
african_elephant-0034,african_elephant
african_elephant-0035,african_elephant
african_elephant-0036,african_elephant
african_elephant-0037,african_elephant
african_elephant-0038,african_elephant
african_elephant-0039,african_elephant
african_elephant-0040,african_elephant
african_elephant-0041,african_elephant
african_elephant-0042,african_elephant
african_elephant-0043,african_elephant
african_elephant-0044,african_elephant
african_elephant-0045,african_elephant
african_elephant-0046,african_elephant
african_elephant-0047,african_elephant
african_elephant-0048,african_elephant
african_elephant-0049,african_elephant
african_elephant-0050,african_elephant
african_elephant-0051,african_elephant
african_elephant-0052,african_elephant
african_elephant-0053,african_elephant
african_elephant-0054,african_elephant
african_elephant-0055,african_elephant
african_elephant-0056,african_elephant
african_elephant-0057,african_elephant
african_elephant-0058,african_elephant
african_elephant-0059,african_elephant
african_elephant-0060,african_elephant
african_elephant-0061,african_elephant
african_elephant-0062,african_elephant
african_elephant-0063,african_elephant
african_elephant-0064,african_elephant
african_elephant-0065,african_elephant
african_elephant-0066,african_elephant
african_elephant-0067,african_elephant
african_elephant-0068,african_elephant
african_elephant-0069,african_elephant
african_elephant-0070,african_elephant
african_elephant-0071,african_elephant
african_elephant-0072,african_elephant
african_elephant-0073,african_elephant
african_elephant-0074,african_elephant
african_elephant-0075,african_elephant
african_elephant-0076,african_elephant
african_elephant-0077,african_elephant
african_elephant-0078,african_elephant
african_elephant-0079,african_elephant
african_elephant-0080,african_elephant
african_elephant-0081,african_elephant
african_elephant-0082,african_elephant
african_elephant-0083,african_elephant
african_elephant-0084,african_elephant
african_elephant-0085,african_elephant
african_elephant-0086,african_elephant
african_elephant-0087,african_elephant
african_elephant-0088,african_elephant
african_elephant-0089,african_elephant
african_elephant-0090,african_elephant
african_elephant-0091,african_elephant
african_elephant-0092,african_elephant
african_elephant-0093,african_elephant
african_elephant-0094,african_elephant
african_elephant-0095,african_elephant
african_elephant-0096,african_elephant
african_elephant-0097,african_elephant
african_elephant-0098,african_elephant
african_elephant-0099,african_elephant
african_elephant-0100,african_elephant
african_elephant-0101,african_elephant
african_elephant-0102,african_elephant
african_elephant-0103,african_elephant
african_elephant-0104,african_elephant
african_elephant-0105,african_elephant
african_elephant-0106,african_elephant
african_elephant-0107,african_elephant
african_elephant-0108,african_elephant
african_elephant-0109,african_elephant
african_elephant-0110,african_elephant
african_elephant-0111,african_elephant
african_elephant-0112,african_elephant
african_elephant-0113,african_elephant
african_elephant-0114,african_elephant
african_elephant-0115,african_elephant
african_elephant-0116,african_elephant
african_elephant-0117,african_elephant
african_elephant-0118,african_elephant
african_elephant-0119,african_elephant
african_elephant-0120,african_elephant
african_elephant-0121,african_elephant
african_elephant-0122,african_elephant
african_elephant-0123,african_elephant
african_elephant-0124,african_elephant
african_elephant-0125,african_elephant
african_elephant-0126,african_elephant
african_elephant-0127,african_elephant
african_elephant-0128,african_elephant
african_elephant-0129,african_elephant
african_elephant-0130,african_elephant
african_elephant-0131,african_elephant
african_elephant-0132,african_elephant
african_elephant-0133,african_elephant
african_elephant-0134,african_elephant
african_elephant-0135,african_elephant
african_elephant-0136,african_elephant
african_elephant-0137,african_elephant
african_elephant-0138,african_elephant
african_elephant-0139,african_elephant
african_elephant-0140,african_elephant
african_elephant-0141,african_elephant
african_elephant-0142,african_elephant
african_elephant-0143,african_elephant
african_elephant-0144,african_elephant
african_elephant-0145,african_elephant
african_elephant-0146,african_elephant
african_elephant-0147,african_elephant
african_elephant-0148,african_elephant
african_elephant-0149,african_elephant
african_elephant-0150,african_elephant
african_elephant-0151,african_elephant
african_elephant-0152,african_elephant
african_elephant-0153,african_elephant
african_elephant-0154,african_elephant
african_elephant-0155,african_elephant
african_elephant-0156,african_elephant
african_elephant-0157,african_elephant
african_elephant-0158,african_elephant
african_elephant-0159,african_elephant
african_elephant-0160,african_elephant
african_elephant-0161,african_elephant
