Name,Type1
notsmoking_0001,notsmoking
notsmoking_0002,notsmoking
notsmoking_0003,notsmoking
notsmoking_0005,notsmoking
notsmoking_0007,notsmoking
notsmoking_0008,notsmoking
notsmoking_0009,notsmoking
notsmoking_0010,notsmoking
notsmoking_0011,notsmoking
notsmoking_0012,notsmoking
notsmoking_0013,notsmoking
notsmoking_0015,notsmoking
notsmoking_0016,notsmoking
notsmoking_0019,notsmoking
notsmoking_0020,notsmoking
notsmoking_0021,notsmoking
notsmoking_0022,notsmoking
notsmoking_0023,notsmoking
notsmoking_0025,notsmoking
notsmoking_0027,notsmoking
notsmoking_0028,notsmoking
notsmoking_0030,notsmoking
notsmoking_0031,notsmoking
notsmoking_0033,notsmoking
notsmoking_0035,notsmoking
notsmoking_0037,notsmoking
notsmoking_0038,notsmoking
notsmoking_0039,notsmoking
notsmoking_0040,notsmoking
notsmoking_0042,notsmoking
notsmoking_0043,notsmoking
notsmoking_0045,notsmoking
notsmoking_0046,notsmoking
notsmoking_0047,notsmoking
notsmoking_0050,notsmoking
notsmoking_0051,notsmoking
notsmoking_0054,notsmoking
notsmoking_0055,notsmoking
notsmoking_0056,notsmoking
notsmoking_0059,notsmoking
notsmoking_0060,notsmoking
notsmoking_0061,notsmoking
notsmoking_0064,notsmoking
notsmoking_0065,notsmoking
notsmoking_0066,notsmoking
notsmoking_0067,notsmoking
notsmoking_0068,notsmoking
notsmoking_0070,notsmoking
notsmoking_0072,notsmoking
notsmoking_0074,notsmoking
notsmoking_0076,notsmoking
notsmoking_0077,notsmoking
notsmoking_0079,notsmoking
notsmoking_0080,notsmoking
notsmoking_0082,notsmoking
notsmoking_0083,notsmoking
notsmoking_0086,notsmoking
notsmoking_0087,notsmoking
notsmoking_0088,notsmoking
notsmoking_0089,notsmoking
notsmoking_0090,notsmoking
notsmoking_0093,notsmoking
notsmoking_0094,notsmoking
notsmoking_0097,notsmoking
notsmoking_0098,notsmoking
notsmoking_0099,notsmoking
notsmoking_0101,notsmoking
notsmoking_0102,notsmoking
notsmoking_0103,notsmoking
notsmoking_0106,notsmoking
notsmoking_0109,notsmoking
notsmoking_0110,notsmoking
notsmoking_0111,notsmoking
notsmoking_0112,notsmoking
notsmoking_0113,notsmoking
notsmoking_0117,notsmoking
notsmoking_0118,notsmoking
notsmoking_0119,notsmoking
notsmoking_0121,notsmoking
notsmoking_0123,notsmoking
notsmoking_0125,notsmoking
notsmoking_0126,notsmoking
notsmoking_0127,notsmoking
notsmoking_0128,notsmoking
notsmoking_0129,notsmoking
notsmoking_0131,notsmoking
notsmoking_0132,notsmoking
notsmoking_0135,notsmoking
notsmoking_0136,notsmoking
notsmoking_0138,notsmoking
notsmoking_0139,notsmoking
notsmoking_0142,notsmoking
notsmoking_0143,notsmoking
notsmoking_0144,notsmoking
notsmoking_0146,notsmoking
notsmoking_0148,notsmoking
notsmoking_0149,notsmoking
notsmoking_0150,notsmoking
notsmoking_0152,notsmoking
notsmoking_0154,notsmoking
notsmoking_0156,notsmoking
notsmoking_0157,notsmoking
notsmoking_0160,notsmoking
notsmoking_0161,notsmoking
notsmoking_0162,notsmoking
notsmoking_0164,notsmoking
notsmoking_0166,notsmoking
notsmoking_0168,notsmoking
notsmoking_0169,notsmoking
notsmoking_0170,notsmoking
notsmoking_0173,notsmoking
notsmoking_0174,notsmoking
notsmoking_0175,notsmoking
notsmoking_0176,notsmoking
notsmoking_0178,notsmoking
notsmoking_0179,notsmoking
notsmoking_0181,notsmoking
notsmoking_0183,notsmoking
notsmoking_0184,notsmoking
notsmoking_0186,notsmoking
notsmoking_0187,notsmoking
notsmoking_0188,notsmoking
notsmoking_0189,notsmoking
notsmoking_0191,notsmoking
notsmoking_0193,notsmoking
notsmoking_0195,notsmoking
notsmoking_0196,notsmoking
notsmoking_0197,notsmoking
notsmoking_0199,notsmoking
notsmoking_0200,notsmoking
notsmoking_0201,notsmoking
notsmoking_0203,notsmoking
notsmoking_0204,notsmoking
notsmoking_0206,notsmoking
notsmoking_0208,notsmoking
notsmoking_0210,notsmoking
notsmoking_0211,notsmoking
notsmoking_0214,notsmoking
notsmoking_0215,notsmoking
notsmoking_0218,notsmoking
notsmoking_0219,notsmoking
notsmoking_0220,notsmoking
notsmoking_0221,notsmoking
notsmoking_0224,notsmoking
notsmoking_0225,notsmoking
notsmoking_0226,notsmoking
notsmoking_0227,notsmoking
notsmoking_0229,notsmoking
notsmoking_0230,notsmoking
notsmoking_0231,notsmoking
notsmoking_0232,notsmoking
notsmoking_0234,notsmoking
notsmoking_0236,notsmoking
notsmoking_0237,notsmoking
notsmoking_0240,notsmoking
notsmoking_0241,notsmoking
notsmoking_0242,notsmoking
notsmoking_0243,notsmoking
notsmoking_0244,notsmoking
notsmoking_0245,notsmoking
notsmoking_0247,notsmoking
notsmoking_0249,notsmoking
notsmoking_0250,notsmoking
notsmoking_0253,notsmoking
notsmoking_0254,notsmoking
notsmoking_0256,notsmoking
notsmoking_0257,notsmoking
notsmoking_0260,notsmoking
notsmoking_0261,notsmoking
notsmoking_0262,notsmoking
notsmoking_0264,notsmoking
notsmoking_0265,notsmoking
notsmoking_0266,notsmoking
notsmoking_0267,notsmoking
notsmoking_0269,notsmoking
notsmoking_0270,notsmoking
notsmoking_0271,notsmoking
notsmoking_0273,notsmoking
notsmoking_0274,notsmoking
notsmoking_0276,notsmoking
notsmoking_0277,notsmoking
notsmoking_0279,notsmoking
notsmoking_0280,notsmoking
notsmoking_0282,notsmoking
notsmoking_0285,notsmoking
notsmoking_0286,notsmoking
notsmoking_0287,notsmoking
notsmoking_0288,notsmoking
notsmoking_0290,notsmoking
notsmoking_0292,notsmoking
notsmoking_0293,notsmoking
notsmoking_0295,notsmoking
notsmoking_0296,notsmoking
notsmoking_0297,notsmoking
notsmoking_0299,notsmoking
notsmoking_0300,notsmoking
notsmoking_0302,notsmoking
notsmoking_0303,notsmoking
notsmoking_0304,notsmoking
notsmoking_0305,notsmoking
notsmoking_0308,notsmoking
notsmoking_0309,notsmoking
notsmoking_0311,notsmoking
notsmoking_0312,notsmoking
notsmoking_0314,notsmoking
notsmoking_0316,notsmoking
notsmoking_0317,notsmoking
notsmoking_0318,notsmoking
notsmoking_0320,notsmoking
notsmoking_0322,notsmoking
notsmoking_0323,notsmoking
notsmoking_0324,notsmoking
notsmoking_0325,notsmoking
notsmoking_0326,notsmoking
notsmoking_0330,notsmoking
notsmoking_0331,notsmoking
notsmoking_0332,notsmoking
notsmoking_0334,notsmoking
notsmoking_0335,notsmoking
notsmoking_0337,notsmoking
notsmoking_0339,notsmoking
notsmoking_0340,notsmoking
notsmoking_0341,notsmoking
notsmoking_0342,notsmoking
notsmoking_0343,notsmoking
notsmoking_0346,notsmoking
notsmoking_0347,notsmoking
notsmoking_0348,notsmoking
notsmoking_0349,notsmoking
notsmoking_0350,notsmoking
notsmoking_0352,notsmoking
notsmoking_0353,notsmoking
notsmoking_0355,notsmoking
notsmoking_0356,notsmoking
notsmoking_0359,notsmoking
notsmoking_0361,notsmoking
notsmoking_0362,notsmoking
notsmoking_0363,notsmoking
notsmoking_0364,notsmoking
notsmoking_0365,notsmoking
notsmoking_0366,notsmoking
notsmoking_0367,notsmoking
notsmoking_0370,notsmoking
notsmoking_0371,notsmoking
notsmoking_0372,notsmoking
notsmoking_0375,notsmoking
notsmoking_0376,notsmoking
notsmoking_0379,notsmoking
notsmoking_0380,notsmoking
notsmoking_0381,notsmoking
notsmoking_0383,notsmoking
notsmoking_0384,notsmoking
notsmoking_0386,notsmoking
notsmoking_0387,notsmoking
notsmoking_0389,notsmoking
notsmoking_0390,notsmoking
notsmoking_0391,notsmoking
notsmoking_0392,notsmoking
notsmoking_0394,notsmoking
notsmoking_0395,notsmoking
notsmoking_0396,notsmoking
notsmoking_0397,notsmoking
notsmoking_0400,notsmoking
notsmoking_0401,notsmoking
notsmoking_0402,notsmoking
notsmoking_0404,notsmoking
notsmoking_0405,notsmoking
notsmoking_0407,notsmoking
notsmoking_0408,notsmoking
notsmoking_0411,notsmoking
notsmoking_0412,notsmoking
notsmoking_0413,notsmoking
notsmoking_0415,notsmoking
notsmoking_0416,notsmoking
notsmoking_0418,notsmoking
notsmoking_0419,notsmoking
notsmoking_0421,notsmoking
notsmoking_0423,notsmoking
notsmoking_0424,notsmoking
notsmoking_0425,notsmoking
notsmoking_0427,notsmoking
notsmoking_0429,notsmoking
notsmoking_0430,notsmoking
notsmoking_0431,notsmoking
notsmoking_0434,notsmoking
notsmoking_0435,notsmoking
notsmoking_0436,notsmoking
notsmoking_0438,notsmoking
notsmoking_0439,notsmoking
notsmoking_0441,notsmoking
notsmoking_0443,notsmoking
notsmoking_0444,notsmoking
notsmoking_0445,notsmoking
notsmoking_0447,notsmoking
notsmoking_0448,notsmoking
notsmoking_0450,notsmoking
notsmoking_0451,notsmoking
notsmoking_0452,notsmoking
notsmoking_0453,notsmoking
notsmoking_0454,notsmoking
notsmoking_0456,notsmoking
notsmoking_0458,notsmoking
notsmoking_0459,notsmoking
notsmoking_0461,notsmoking
notsmoking_0463,notsmoking
notsmoking_0464,notsmoking
notsmoking_0466,notsmoking
notsmoking_0468,notsmoking
notsmoking_0470,notsmoking
notsmoking_0471,notsmoking
notsmoking_0472,notsmoking
notsmoking_0473,notsmoking
notsmoking_0474,notsmoking
notsmoking_0475,notsmoking
notsmoking_0476,notsmoking
notsmoking_0479,notsmoking
notsmoking_0480,notsmoking
notsmoking_0483,notsmoking
notsmoking_0484,notsmoking
notsmoking_0485,notsmoking
notsmoking_0486,notsmoking
notsmoking_0489,notsmoking
notsmoking_0490,notsmoking
notsmoking_0491,notsmoking
notsmoking_0492,notsmoking
notsmoking_0495,notsmoking
notsmoking_0496,notsmoking
notsmoking_0497,notsmoking
notsmoking_0499,notsmoking
notsmoking_0503,notsmoking
notsmoking_0505,notsmoking
